Table 1.10 Civilians Ages Under 5 Years Living in the Community for the United States and States, by Disability Status: 2021
State,Total,"Disability: Count","Disability: % [1]","No Disability: Count","No Disability: % [2]"
SD,702642,613756,87.3
TN,4965911,4173850,84.1
TX,11434613,9825917,85.9
UT,2513733,2238207,89.0
VT,576835,496865,86.1
VA,5003280,4341411,86.8
WA,4909292,4183095,85.2
WV,1589271,1288735,81.1
WI,4617144,4057019,87.9
WY,463681,400090,86.3

Table 1.39 Non-Hispanic Black Civilians without Disabilities Living in the Community for the United States and States, by Disability Status: 2021
State,Total,"No Disability: Count","No Disability: % [1]"
US,38052940,32530825,85.5
AL,1272014,1056401,83.0
AK,18535,13229,71.4
AZ,299825,260488,86.9
AR,431135,353269,81.9
CA,1981192,1657727,83.7
CO,205822,179882,87.4
CT,346926,306090,88.2
DE,202448,178338,88.1
DC,280018,229088,81.8
FL,3085079,2711823,87.9
GA,3208153,2772521,86.4
HI,18898,14630,77.4
ID,13392,12403,92.6
IL,1645068,1396313,84.9
IN,578746,494744,85.5
IA,109521,99872,91.2
KS,137777,113494,82.4
KY,302705,255815,84.5
LA,1389733,1163030,83.7
ME,20416,17245,84.5
MD,1744066,1520412,87.2
MA,423512,371048,87.6
MI,1302121,1080207,83.0
MN,379515,329678,86.9
MS,1034136,855041,82.7
MO,639994,542735,84.8
MT,4334,3632,83.8
NE,83132,73730,88.7
NV,266536,233159,87.5
NH,15877,14449,91.0
NJ,1110146,969651,87.3
NM,34779,29986,86.2
NY,2588442,2235356,86.4
NC,2045771,1742687,85.2
ND,21840,19409,88.9
OH,1337296,1133479,84.8
OK,256793,212681,82.8
OR,77462,65488,84.5
PA,1241809,1029163,82.9
RI,48245,39983,82.9
SC,1260829,1066733,84.6
SD,17138,14534,84.8
TN,1036669,895700,86.4
TX,3321970,2861237,86.1
UT,34261,30907,90.2
VT,6913,6258,90.5
VA,1495219,1283872,85.9
WA,285584,249115,87.2
WV,44961,35819,79.7
WI,340962,293630,86.1
WY,5225,4644,88.9

Table 1.40 Non-Hispanic Asian Civilians without Disabilities Living in the Community for the United States and States, by Disability Status: 2021
State,Total,"No Disability: Count","No Disability: % [1]"
US,18814944,17360003,92.3
AL,66151,62205,94.0
AK,49035,46414,94.7
AZ,234881,216136,92.0
AR,41775,39128,93.7
CA,5864485,5355039,91.3
CO,178302,162992,91.4
CT,168826,157203,93.1
DE,40234,38385,95.4
DC,25861,24322,94.0
FL,600212,548897,91.5
GA,462355,435236,94.1
HI,514109,448803,87.3
ID,26511,24357,91.9
IL,714098,660508,92.5
IN,158429,148838,93.9
IA,72325,68326,94.5
KS,86704,81810,94.4
KY,64175,60320,94.0
LA,79180,72268,91.3
ME,16533,13791,83.4
MD,407318,379387,93.1
MA,490422,461022,94.0
MI,316874,297720,94.0
MN,285500,259199,90.8
MS,23953,22661,94.6
MO,122145,113736,93.1
MT,7843,7253,92.5
NE,42521,39682,93.3
NV,260138,232983,89.6
NH,37686,35548,94.3
NJ,915258,864377,94.4
NM,30315,27403,90.4
NY,1712250,1580568,92.3
NC,321555,301085,93.6
ND,10400,9568,92.0
OH,277506,261947,94.4
OK,90092,83398,92.6
OR,187396,171146,91.3
PA,472764,434058,91.8
RI,34088,30512,89.5
SC,81556,73175,89.7
SD,12802,11984,93.6
TN,115927,108718,93.8
TX,1510325,1418080,93.9
UT,83000,76319,92.0
VT,11967,11688,97.7
VA,573265,533701,93.1
WA,722003,665166,92.1
WV,13885,13161,94.8
WI,175821,165726,94.3
WY,4188,4054,96.8

Table 1.41 Non-Hispanic Other Civilians without Disabilities Living in the Community for the United States and States, by Disability Status: 2021
State,Total,"No Disability: Count","No Disability: % [1]"
US,18182193,15742813,86.6
AL,201825,162443,80.5
AK,181158,155100,85.6
AZ,582730,505299,86.7
AR,226505,186138,82.2
CA,2054331,1818104,88.5
CO,329234,289759,88.0
CT,180968,162565,89.8
DE,57808,50297,87.0
DC,37115,32458,87.5
FL,1013133,894970,88.3
GA,530754,457952,86.3
HI,426906,382479,89.6
ID,109531,90964,83.0
IL,506673,441324,87.1
IN,317023,266476,84.1
IA,141527,119984,84.8
KS,174003,148234,85.2
KY,220186,174736,79.4
LA,215298,172755,80.2
ME,76326,66036,86.5
MD,326937,290818,89.0
MA,445708,402657,90.3
MI,510229,434228,85.1
MN,317793,277552,87.3
MS,129651,103857,80.1
MO,367772,313878,85.3
MT,118789,100753,84.8
NE,96675,85013,87.9
NV,247985,216942,87.5
NH,59740,52912,88.6
NJ,376467,341345,90.7
NM,245620,208385,84.8
NY,985476,873374,88.6
NC,615251,527324,85.7
ND,68654,56294,82.0
OH,589222,499913,84.8
OK,638008,526012,82.4
OR,320681,269743,84.1
PA,559092,487332,87.2
RI,68406,57760,84.4
SC,235909,203080,86.1
SD,108588,94533,87.1
TN,340265,283088,83.2
TX,1077551,927265,86.1
UT,190627,171301,89.9
VT,29594,25151,85.0
VA,491506,433521,88.2
WA,664634,581827,87.5
WV,77452,62576,80.8
WI,258329,224655,87.0
WY,36548,31651,86.6

Table 1.42 Hispanic Civilians without Disabilities Living in the Community for the United States and States, by Disability Status: 2021
State,Total,"No Disability: Count","No Disability: % [1]"
US,61793823,55624807,90.0
AL,232378,213224,91.8
AK,48344,41836,86.5
AZ,2319648,2069501,89.2
AR,246029,229195,93.2
CA,15576282,14133029,90.7
CO,1273390,1143158,89.8
CT,629437,552107,87.7
DE,99938,89488,89.5
DC,76172,70370,92.4
FL,5778026,5160383,89.3
GA,1065571,979918,92.0
HI,151411,134696,89.0
ID,249896,226715,90.7
IL,2258906,2089607,92.5
IN,514657,466414,90.6
IA,210262,187821,89.3
KS,369828,336775,91.1
KY,170635,155557,91.2
LA,247575,224053,90.5
ME,24929,21005,84.3
MD,677549,630058,93.0
MA,889873,780020,87.7
MI,555515,502769,90.5
MN,331177,297068,89.7
MS,91038,80651,88.6
MO,276356,249546,90.3
MT,46633,40724,87.3
NE,230970,208543,90.3
NV,932889,848289,90.9
NH,58870,54029,91.8
NJ,1977436,1796358,90.8
NM,1044944,887204,84.9
NY,3833710,3379543,88.2
NC,1046891,968545,92.5
ND,29797,27059,90.8
OH,500372,438171,87.6
OK,460447,414021,89.9
OR,591131,530050,89.7
PA,1067122,908888,85.2
RI,186138,162639,87.4
SC,322182,296000,91.9
SD,35955,30782,85.6
TN,415849,383041,92.1
TX,11728064,10521853,89.7
UT,487859,447256,91.7
VT,13250,12628,95.3
VA,852505,782835,91.8
WA,1038598,943975,90.9
WV,30006,26757,89.2
WI,436775,397977,91.1
WY,60608,52676,86.9

Table 1.43 Male Civilians with Disabilities Living in the Community for the United States and States, by Disability Status: 2021
State,Total,"Disability: Count","Disability: % [1]"
US,160667758,20570386,12.8
AL,2382659,383399,16.1
AK,361369,51047,14.1
AZ,3550863,479263,13.5
AR,1458706,255212,17.5
CA,19212447,2079721,10.8
CO,2867430,324539,11.3
CT,1738212,208287,12.0
DE,474249,64551,13.6
DC,311238,33726,10.8
FL,10467743,1418448,13.6
GA,5114715,648867,12.7
HI,680559,88977,13.1
ID,938537,135938,14.5
IL,6142850,698827,11.4
IN,3309815,442981,13.4
IA,1572805,195754,12.4
KS,1434605,192728,13.4
KY,2171550,388070,17.9
LA,2175836,345254,15.9
ME,666114,108162,16.2
MD,2924550,312469,10.7
MA,3366202,371402,11.0
MI,4903950,670822,13.7
MN,2820287,341723,12.1
MS,1385394,249069,18.0
MO,2965861,433781,14.6
MT,550116,85557,15.6
NE,962845,122410,12.7
NV,1554349,205669,13.2
NH,685870,83653,12.2
NJ,4483613,448329,10.0
NM,1017409,161991,15.9
NY,9533772,1076060,11.3
NC,4993614,680203,13.6
ND,387128,43966,11.4
OH,5694662,794779,14.0
OK,1929803,329666,17.1
OR,2091146,316902,15.2
PA,6271632,846219,13.5
RI,525890,69919,13.3
SC,2458411,352076,14.3
SD,443799,58301,13.1
TN,3342855,501677,15.0
TX,14380206,1728370,12.0
UT,1672175,168126,10.1
VT,315647,45300,14.4
VA,4102872,497306,12.1
WA,3803546,486842,12.8
WV,867709,162253,18.7
WI,2909456,345187,11.9
WY,290687,36608,12.6

Table 1.44 Female Civilians with Disabilities Living in the Community for the United States and States, by Disability Status: 2021
State,Total,"Disability: Count","Disability: % [1]"
US,166275020,22031613,13.3
AL,2574169,422450,16.4
AK,342243,48147,14.1
AZ,3624667,491167,13.6
AR,1516842,262511,17.3
CA,19513204,2262778,11.6
CO,2847921,318491,11.2
CT,1820451,218857,12.0
DE,513557,64992,12.7
DC,348484,44156,12.7
FL,10999163,1492687,13.6
GA,5487582,724267,13.2
HI,702400,79186,11.3
ID,941205,127177,13.5
IL,6353766,792923,12.5
IN,3399146,476351,14.0
IA,1576276,201425,12.8
KS,1445589,193322,13.4
KY,2256535,395629,17.5
LA,2343043,378964,16.2
ME,692068,102270,14.8
MD,3136440,374878,12.0
MA,3549486,437072,12.3
MI,5047101,723482,14.3
MN,2832234,337739,11.9
MS,1500244,273773,18.2
MO,3096985,449772,14.5
MT,537131,73189,13.6
NE,972840,127174,13.1
NV,1550505,196497,12.7
NH,687553,82384,12.0
NJ,4679741,514385,11.0
NM,1060083,174566,16.5
NY,10065477,1283782,12.8
NC,5352606,733430,13.7
ND,367353,48504,13.2
OH,5918690,864367,14.6
OK,1973462,346133,17.5
OR,2115047,320777,15.2
PA,6495615,918055,14.1
RI,554978,80693,14.5
SC,2649040,378737,14.3
SD,433326,53235,12.3
TN,3531766,528547,15.0
TX,14692317,1789801,12.2
UT,1637305,177364,10.8
VT,322912,40669,12.6
VA,4312903,543129,12.6
WA,3816565,510091,13.4
WV,887866,166274,18.7
WI,2919575,344837,11.8
WY,279563,40527,14.5

Table 1.45 Male Civilians without Disabilities Living in the Community for the United States and States, by Disability Status: 2021
State,Total,"No Disability: Count","No Disability: % [1]"
US,160667758,140097372,87.2
AL,2382659,1999260,83.9
AK,361369,310322,85.9
AZ,3550863,3071600,86.5
AR,1458706,1203494,82.5
CA,19212447,17132726,89.2
CO,2867430,2542891,88.7
CT,1738212,1529925,88.0
DE,474249,409698,86.4
DC,311238,277512,89.2
FL,10467743,9049295,86.4
GA,5114715,4465848,87.3
HI,680559,591582,86.9
ID,938537,802599,85.5
IL,6142850,5444023,88.6
IN,3309815,2866834,86.6
IA,1572805,1377051,87.6
KS,1434605,1241877,86.6
KY,2171550,1783480,82.1
LA,2175836,1830582,84.1
ME,666114,557952,83.8
MD,2924550,2612081,89.3
MA,3366202,2994800,89.0
MI,4903950,4233128,86.3
MN,2820287,2478564,87.9
MS,1385394,1136325,82.0
MO,2965861,2532080,85.4
MT,550116,464559,84.4
NE,962845,840435,87.3
NV,1554349,1348680,86.8
NH,685870,602217,87.8
NJ,4483613,4035284,90.0
NM,1017409,855418,84.1
NY,9533772,8457712,88.7
NC,4993614,4313411,86.4
ND,387128,343162,88.6
OH,5694662,4899883,86.0
OK,1929803,1600137,82.9
OR,2091146,1774244,84.8
PA,6271632,5425413,86.5
RI,525890,455971,86.7
SC,2458411,2106335,85.7
SD,443799,385498,86.9
TN,3342855,2841178,85.0
TX,14380206,12651836,88.0
UT,1672175,1504049,89.9
VT,315647,270347,85.6
VA,4102872,3605566,87.9
WA,3803546,3316704,87.2
WV,867709,705456,81.3
WI,2909456,2564269,88.1
WY,290687,254079,87.4

Table 1.46 Female Civilians without Disabilities Living in the Community for the United States and States, by Disability Status: 2021
State,Total,"No Disability: Count","No Disability: % [1]"
US,166275020,144243407,86.7
AL,2574169,2151719,83.6
AK,342243,294096,85.9
AZ,3624667,3133500,86.4
AR,1516842,1254331,82.7
CA,19513204,17250426,88.4
CO,2847921,2529430,88.8
CT,1820451,1601594,88.0
DE,513557,448565,87.3
DC,348484,304328,87.3
FL,10999163,9506476,86.4
GA,5487582,4763315,86.8
HI,702400,623214,88.7
ID,941205,814028,86.5
IL,6353766,5560843,87.5
IN,3399146,2922795,86.0
IA,1576276,1374851,87.2
KS,1445589,1252267,86.6
KY,2256535,1860906,82.5
LA,2343043,1964079,83.8
ME,692068,589798,85.2
MD,3136440,2761562,88.0
MA,3549486,3112414,87.7
MI,5047101,4323619,85.7
MN,2832234,2494495,88.1
MS,1500244,1226471,81.8
MO,3096985,2647213,85.5
MT,537131,463942,86.4
NE,972840,845666,86.9
NV,1550505,1354008,87.3
NH,687553,605169,88.0
NJ,4679741,4165356,89.0
NM,1060083,885517,83.5
NY,10065477,8781695,87.2
NC,5352606,4619176,86.3
ND,367353,318849,86.8
OH,5918690,5054323,85.4
OK,1973462,1627329,82.5
OR,2115047,1794270,84.8
PA,6495615,5577560,85.9
RI,554978,474285,85.5
SC,2649040,2270303,85.7
SD,433326,380091,87.7
TN,3531766,3003219,85.0
TX,14692317,12902516,87.8
UT,1637305,1459941,89.2
VT,322912,282243,87.4
VA,4312903,3769774,87.4
WA,3816565,3306474,86.6
WV,887866,721592,81.3
WI,2919575,2574738,88.2
WY,279563,239036,85.5

Table 1.47 Non-Hispanic White Civilians Living in the Community for the United States and States - Hearing Disability: 2021
State,Total,Disability,"Hearing: Count","Hearing: Total (%) [1]","Hearing: Disability (%) [2]"
US,190098878,27016547,8475067,4.5,31.4
AL,3184460,527754,163700,5.1,31.0
AK,406540,58701,21882,5.4,37.3
AZ,3738446,584770,204851,5.5,35.0
AR,2030104,380009,120189,5.9,31.6
CA,13249361,1830108,577174,4.4,31.5
CO,3728603,432073,154887,4.2,35.8
CT,2232506,278952,86149,3.9,30.9
DE,587378,85623,27652,4.7,32.3
DC,240556,14954,4150,1.7,27.8
FL,10990456,1750758,579103,5.3,33.1
GA,5335464,751928,242219,4.5,32.2
HI,271635,37447,11382,4.2,30.4
ID,1480412,218224,77102,5.2,35.3
IL,7371871,954757,284946,3.9,29.8
IN,5140106,726949,217563,4.2,29.9
IA,2615446,339547,113899,4.4,33.5
KS,2111882,298051,98768,4.7,33.1
KY,3670384,672426,194189,5.3,28.9
LA,2587093,424538,133595,5.2,31.5
ME,1219978,190305,59745,4.9,31.4
MD,2905120,352152,111892,3.9,31.8
MA,4666173,573706,173077,3.7,30.2
MI,7266312,1024489,304836,4.2,29.8
MN,4338536,528974,168482,3.9,31.9
MS,1606860,306274,89036,5.5,29.1
MO,4656579,697181,212665,4.6,30.5
MT,909648,133509,50193,5.5,37.6
NE,1482387,203254,65574,4.4,32.3
NV,1397306,225991,72376,5.2,32.0
NH,1201250,150802,47136,3.9,31.3
NJ,4784047,555138,167161,3.5,30.1
NM,721834,133877,47942,6.6,35.8
NY,10479371,1308805,370062,3.5,28.3
NC,6316752,923806,293448,4.6,31.8
ND,623790,74109,27066,4.3,36.5
OH,8908956,1288260,376047,4.2,29.2
OK,2457925,466571,151581,6.2,32.5
OR,3029523,497436,152232,5.0,30.6
PA,9426460,1282928,378587,4.0,29.5
RI,743991,104629,29587,4.0,28.3
SC,3206975,469325,139851,4.4,29.8
SD,702642,88886,31901,4.5,35.9
TN,4965911,792061,250107,5.0,31.6
TX,11434613,1608696,518600,4.5,32.2
UT,2513733,275526,86826,3.5,31.5
VT,576835,79970,26754,4.6,33.5
VA,5003280,661869,217939,4.4,32.9
WA,4909292,726197,243866,5.0,33.6
WV,1589271,300536,94131,5.9,31.3
WI,4617144,560125,177358,3.8,31.7
WY,463681,63591,25609,5.5,40.3

Table 1.48 Non-Hispanic Black Civilians Living in the Community for the United States and States - Hearing Disability: 2021
State,Total,Disability,"Hearing: Count","Hearing: Total (%) [1]","Hearing: Disability (%) [2]"
US,38052940,5522115,832106,2.2,15.1
AL,1272014,215613,30483,2.4,14.1
AK,18535,5306,1170,6.3,22.1
AZ,299825,39337,5671,1.9,14.4
AR,431135,77866,11321,2.6,14.5
CA,1981192,323465,45113,2.3,13.9
CO,205822,25940,4805,2.3,18.5
CT,346926,40836,4987,1.4,12.2
DE,202448,24110,5008,2.5,20.8
DC,280018,50930,6779,2.4,13.3
FL,3085079,373256,55601,1.8,14.9
GA,3208153,435632,63926,2.0,14.7
HI,18898,4268,771,4.1,18.1
ID,13392,989,51,0.4,5.2
IL,1645068,248755,35069,2.1,14.1
IN,578746,84002,13871,2.4,16.5
IA,109521,9649,765,0.7,7.9
KS,137777,24283,3819,2.8,15.7
KY,302705,46890,6225,2.1,13.3
LA,1389733,226703,40707,2.9,18.0
ME,20416,3171,417,2.0,13.2
MD,1744066,223654,31193,1.8,13.9
MA,423512,52464,6965,1.6,13.3
MI,1302121,221914,27413,2.1,12.4
MN,379515,49837,6751,1.8,13.5
MS,1034136,179095,27486,2.7,15.3
MO,639994,97259,12597,2.0,13.0
MT,4334,702,*,*,*
NE,83132,9402,1745,2.1,18.6
NV,266536,33377,4889,1.8,14.6
NH,15877,1428,780,4.9,54.6
NJ,1110146,140495,22242,2.0,15.8
NM,34779,4793,192,0.6,4.0
NY,2588442,353086,50360,1.9,14.3
NC,2045771,303084,54864,2.7,18.1
ND,21840,2431,74,0.3,3.0
OH,1337296,203817,28215,2.1,13.8
OK,256793,44112,7418,2.9,16.8
OR,77462,11974,1229,1.6,10.3
PA,1241809,212646,33937,2.7,16.0
RI,48245,8262,788,1.6,9.5
SC,1260829,194096,31845,2.5,16.4
SD,17138,2604,658,3.8,25.3
TN,1036669,140969,20112,1.9,14.3
TX,3321970,460733,75938,2.3,16.5
UT,34261,3354,648,1.9,19.3
VT,6913,655,241,3.5,36.8
VA,1495219,211347,32762,2.2,15.5
WA,285584,36469,4512,1.6,12.4
WV,44961,9142,1518,3.4,16.6
WI,340962,47332,8175,2.4,17.3
WY,5225,581,*,*,*

Table 1.49 Non-Hispanic Asian Civilians Living in the Community for the United States and States - Hearing Disability: 2021
State,Total,Disability,"Hearing: Count","Hearing: Total (%) [1]","Hearing: Disability (%) [2]"
US,18814944,1454941,392925,2.1,27.0
AL,66151,3946,1318,2.0,33.4
AK,49035,2621,511,1.0,19.5
AZ,234881,18745,5914,2.5,31.5
AR,41775,2647,120,0.3,4.5
CA,5864485,509446,148295,2.5,29.1
CO,178302,15310,4173,2.3,27.3
CT,168826,11623,2363,1.4,20.3
DE,40234,1849,441,1.1,23.9
DC,25861,1539,282,1.1,18.3
FL,600212,51315,14561,2.4,28.4
GA,462355,27119,8750,1.9,32.3
HI,514109,65306,23563,4.6,36.1
ID,26511,2154,526,2.0,24.4
IL,714098,53590,14208,2.0,26.5
IN,158429,9591,1544,1.0,16.1
IA,72325,3999,511,0.7,12.8
KS,86704,4894,1476,1.7,30.2
KY,64175,3855,1092,1.7,28.3
LA,79180,6912,1983,2.5,28.7
ME,16533,2742,144,0.9,5.3
MD,407318,27931,6964,1.7,24.9
MA,490422,29400,7054,1.4,24.0
MI,316874,19154,4130,1.3,21.6
MN,285500,26301,4727,1.7,18.0
MS,23953,1292,187,0.8,14.5
MO,122145,8409,2009,1.6,23.9
MT,7843,590,*,*,*
NE,42521,2839,1300,3.1,45.8
NV,260138,27155,8438,3.2,31.1
NH,37686,2138,522,1.4,24.4
NJ,915258,50881,13103,1.4,25.8
NM,30315,2912,692,2.3,23.8
NY,1712250,131682,30187,1.8,22.9
NC,321555,20470,4873,1.5,23.8
ND,10400,832,231,2.2,27.8
OH,277506,15559,4032,1.5,25.9
OK,90092,6694,701,0.8,10.5
OR,187396,16250,5201,2.8,32.0
PA,472764,38706,8472,1.8,21.9
RI,34088,3576,390,1.1,10.9
SC,81556,8381,1628,2.0,19.4
SD,12802,818,420,3.3,51.3
TN,115927,7209,1371,1.2,19.0
TX,1510325,92245,25183,1.7,27.3
UT,83000,6681,2463,3.0,36.9
VT,11967,279,*,*,*
VA,573265,39564,9786,1.7,24.7
WA,722003,56837,13959,1.9,24.6
WV,13885,724,177,1.3,24.4
WI,175821,10095,2950,1.7,29.2
WY,4188,134,*,*,*

Table 1.50 Non-Hispanic Other Civilians Living in the Community for the United States and States - Hearing Disability: 2021
State,Total,Disability,"Hearing: Count","Hearing: Total (%) [1]","Hearing: Disability (%) [2]"
US,18182193,2439380,575279,3.2,23.6
AL,201825,39382,8261,4.1,21.0
AK,181158,26058,8473,4.7,32.5
AZ,582730,77431,24890,4.3,32.1
AR,226505,40367,7516,3.3,18.6
CA,2054331,236227,48201,2.3,20.4
CO,329234,39475,10437,3.2,26.4
CT,180968,18403,4233,2.3,23.0
DE,57808,7511,1941,3.4,25.8
DC,37115,4657,943,2.5,20.2
FL,1013133,118163,24648,2.4,20.9
GA,530754,72802,16544,3.1,22.7
HI,426906,44427,12576,2.9,28.3
ID,109531,18567,6059,5.5,32.6
IL,506673,65349,14502,2.9,22.2
IN,317023,50547,12950,4.1,25.6
IA,141527,21543,5192,3.7,24.1
KS,174003,25769,7557,4.3,29.3
KY,220186,45450,8906,4.0,19.6
LA,215298,42543,10280,4.8,24.2
ME,76326,10290,2650,3.5,25.8
MD,326937,36119,8333,2.5,23.1
MA,445708,43051,7674,1.7,17.8
MI,510229,76001,17407,3.4,22.9
MN,317793,40241,7666,2.4,19.1
MS,129651,25794,6407,4.9,24.8
MO,367772,53894,13149,3.6,24.4
MT,118789,18036,5574,4.7,30.9
NE,96675,11662,2388,2.5,20.5
NV,247985,31043,7853,3.2,25.3
NH,59740,6828,1365,2.3,20.0
NJ,376467,35122,5299,1.4,15.1
NM,245620,37235,14221,5.8,38.2
NY,985476,112102,19732,2.0,17.6
NC,615251,87927,19137,3.1,21.8
ND,68654,12360,4294,6.3,34.7
OH,589222,89309,19935,3.4,22.3
OK,638008,111996,31602,5.0,28.2
OR,320681,50938,13619,4.2,26.7
PA,559092,71760,15192,2.7,21.2
RI,68406,10646,1541,2.3,14.5
SC,235909,32829,7375,3.1,22.5
SD,108588,14055,3226,3.0,23.0
TN,340265,57177,16458,4.8,28.8
TX,1077551,150286,38546,3.6,25.6
UT,190627,19326,3972,2.1,20.6
VT,29594,4443,544,1.8,12.2
VA,491506,57985,11709,2.4,20.2
WA,664634,82807,19017,2.9,23.0
WV,77452,14876,3747,4.8,25.2
WI,258329,33674,9829,3.8,29.2
WY,36548,4897,1709,4.7,34.9

Table 1.51 Hispanic Civilians Living in the Community for the United States and States - Hearing Disability: 2021
State,Total,Disability,"Hearing: Count","Hearing: Total (%) [1]","Hearing: Disability (%) [2]"
US,61793823,6169016,1356981,2.2,22.0
AL,232378,19154,3427,1.5,17.9
AK,48344,6508,1339,2.8,20.6
AZ,2319648,250147,57172,2.5,22.9
AR,246029,16834,3174,1.3,18.9
CA,15576282,1443253,321395,2.1,22.3
CO,1273390,130232,39007,3.1,30.0
CT,629437,77330,14729,2.3,19.0
DE,99938,10450,2699,2.7,25.8
DC,76172,5802,1825,2.4,31.5
FL,5778026,617643,136548,2.4,22.1
GA,1065571,85653,14874,1.4,17.4
HI,151411,16715,2587,1.7,15.5
ID,249896,23181,6425,2.6,27.7
IL,2258906,169299,35197,1.6,20.8
IN,514657,48243,11786,2.3,24.4
IA,210262,22441,3648,1.7,16.3
KS,369828,33053,7051,1.9,21.3
KY,170635,15078,4079,2.4,27.1
LA,247575,23522,5781,2.3,24.6
ME,24929,3924,560,2.2,14.3
MD,677549,47491,9102,1.3,19.2
MA,889873,109853,16052,1.8,14.6
MI,555515,52746,12803,2.3,24.3
MN,331177,34109,6969,2.1,20.4
MS,91038,10387,1935,2.1,18.6
MO,276356,26810,6140,2.2,22.9
MT,46633,5909,852,1.8,14.4
NE,230970,22427,5329,2.3,23.8
NV,932889,84600,22501,2.4,26.6
NH,58870,4841,454,0.8,9.4
NJ,1977436,181078,30261,1.5,16.7
NM,1044944,157740,41904,4.0,26.6
NY,3833710,454167,81797,2.1,18.0
NC,1046891,78346,16504,1.6,21.1
ND,29797,2738,1024,3.4,37.4
OH,500372,62201,11666,2.3,18.8
OK,460447,46426,11142,2.4,24.0
OR,591131,61081,13753,2.3,22.5
PA,1067122,158234,28380,2.7,17.9
RI,186138,23499,2429,1.3,10.3
SC,322182,26182,5778,1.8,22.1
SD,35955,5173,641,1.8,12.4
TN,415849,32808,8450,2.0,25.8
TX,11728064,1206211,294766,2.5,24.4
UT,487859,40603,8958,1.8,22.1
VT,13250,622,218,1.6,35.0
VA,852505,69670,15065,1.8,21.6
WA,1038598,94623,17233,1.7,18.2
WV,30006,3249,807,2.7,24.8
WI,436775,38798,9228,2.1,23.8
WY,60608,7932,1537,2.5,19.4

Table 1.52 Non-Hispanic White Civilians Living in the Community for the United States and States - Vision Disability: 2021
State,Total,Disability,"Vision: Count","Vision: Total (%) [1]","Vision: Disability (%) [2]"
US,190098878,27016547,4593094,2.4,17.0
AL,3184460,527754,92057,2.9,17.4
AK,406540,58701,8095,2.0,13.8
AZ,3738446,584770,94072,2.5,16.1
AR,2030104,380009,72467,3.6,19.1
CA,13249361,1830108,312187,2.4,17.1
CO,3728603,432073,78250,2.1,18.1
CT,2232506,278952,45004,2.0,16.1
DE,587378,85623,14257,2.4,16.7
DC,240556,14954,2774,1.2,18.6
FL,10990456,1750758,292580,2.7,16.7
GA,5335464,751928,143402,2.7,19.1
HI,271635,37447,6068,2.2,16.2
ID,1480412,218224,39229,2.6,18.0
IL,7371871,954757,149650,2.0,15.7
IN,5140106,726949,122989,2.4,16.9
IA,2615446,339547,49753,1.9,14.7
KS,2111882,298051,47030,2.2,15.8
KY,3670384,672426,140969,3.8,21.0
LA,2587093,424538,89273,3.5,21.0
ME,1219978,190305,25558,2.1,13.4
MD,2905120,352152,52389,1.8,14.9
MA,4666173,573706,89492,1.9,15.6
MI,7266312,1024489,151943,2.1,14.8
MN,4338536,528974,68999,1.6,13.0
MS,1606860,306274,67498,4.2,22.0
MO,4656579,697181,123766,2.7,17.8
MT,909648,133509,23215,2.6,17.4
NE,1482387,203254,34807,2.3,17.1
NV,1397306,225991,44995,3.2,19.9
NH,1201250,150802,23930,2.0,15.9
NJ,4784047,555138,90440,1.9,16.3
NM,721834,133877,25433,3.5,19.0
NY,10479371,1308805,194147,1.9,14.8
NC,6316752,923806,160437,2.5,17.4
ND,623790,74109,15556,2.5,21.0
OH,8908956,1288260,215748,2.4,16.7
OK,2457925,466571,101147,4.1,21.7
OR,3029523,497436,77499,2.6,15.6
PA,9426460,1282928,198036,2.1,15.4
RI,743991,104629,13697,1.8,13.1
SC,3206975,469325,86363,2.7,18.4
SD,702642,88886,12379,1.8,13.9
TN,4965911,792061,161004,3.2,20.3
TX,11434613,1608696,291928,2.6,18.1
UT,2513733,275526,43870,1.7,15.9
VT,576835,79970,12442,2.2,15.6
VA,5003280,661869,126555,2.5,19.1
WA,4909292,726197,111914,2.3,15.4
WV,1589271,300536,53997,3.4,18.0
WI,4617144,560125,81873,1.8,14.6
WY,463681,63591,11931,2.6,18.8

Table 1.53 Non-Hispanic Black Civilians Living in the Community for the United States and States - Vision Disability: 2021
State,Total,Disability,"Vision: Count","Vision: Total (%) [1]","Vision: Disability (%) [2]"
US,38052940,5522115,1225005,3.2,22.2
AL,1272014,215613,44117,3.5,20.5
AK,18535,5306,761,4.1,14.3
AZ,299825,39337,6589,2.2,16.8
AR,431135,77866,21762,5.0,27.9
CA,1981192,323465,63879,3.2,19.7
CO,205822,25940,4936,2.4,19.0
CT,346926,40836,8346,2.4,20.4
DE,202448,24110,5422,2.7,22.5
DC,280018,50930,8312,3.0,16.3
FL,3085079,373256,88093,2.9,23.6
GA,3208153,435632,91857,2.9,21.1
HI,18898,4268,585,3.1,13.7
ID,13392,989,174,1.3,17.6
IL,1645068,248755,54128,3.3,21.8
IN,578746,84002,18956,3.3,22.6
IA,109521,9649,2996,2.7,31.0
KS,137777,24283,4367,3.2,18.0
KY,302705,46890,8618,2.8,18.4
LA,1389733,226703,63681,4.6,28.1
ME,20416,3171,243,1.2,7.7
MD,1744066,223654,44373,2.5,19.8
MA,423512,52464,10327,2.4,19.7
MI,1302121,221914,43005,3.3,19.4
