Table 1.1 Resident Population - States: 2018 to 2021
Geography,2018,2019,2020,2021
GA,14580,11.8,23030,18.7
HI,1174,8.2,2257,15.7
ID,2131,7.0,3949,13.0
IL,15604,11.9,24963,19.1
IN,10265,10.8,17571,18.5
IA,4702,11.1,7358,17.3
KS,3681,8.0,7756,17.0
KY,11714,13.7,17001,19.8
LA,11474,15.6,15469,21.1
ME,2780,14.9,4161,22.3
MD,4301,7.3,7380,12.6
MA,5387,8.5,9046,14.4
MI,14144,10.9,23260,17.9
MN,4653,6.9,8331,12.3
MS,5746,11.3,11952,23.6
MO,8556,10.1,16312,19.4
MT,662,3.7,2063,11.6
NE,2332,7.6,3928,12.8
NV,5489,13.9,7889,20.1
NH,1411,8.1,2768,15.9
NJ,6665,9.5,13133,18.9
NM,4865,13.6,9269,25.9
NY,23021,12.7,33318,18.4
NC,16936,12.5,28262,20.8
ND,631,4.5,1241,8.9
OH,12709,8.4,24905,16.5
OK,7826,10.3,14672,19.3
OR,8457,12.9,13922,21.2
PA,13431,9.1,30364,20.5
RI,916,7.8,2289,19.5
SC,8322,13.1,12623,19.9
SD,1313,9.4,2263,16.2
TN,13202,12.0,23930,21.8
TX,38423,10.6,63694,17.6
UT,4698,11.6,7785,19.3
VT,610,7.5,900,11.0
VA,13756,12.8,22751,21.1
WA,8718,8.5,18901,18.4
WV,4130,12.4,5905,17.7
WI,10033,13.6,15505,21.0
WY,983,10.8,1269,13.9

Table 2.4 Functioning - Civilians Ages 18-64 Years Living in the Community with Hearing Disabilities who have Both or Only Self-Care Disabilities and Independent Living Disabilities for the United States and States: 2021
State,"Both Self-Care and Independent Living: Count","Both Self-Care and Independent Living: % [1]","Self-Care Only: Count","Self-Care Only: % [2]","Independent Living Only: Count","Independent Living Only: % [3]"
US,373101,9.3,81403,2.0,387352,9.7
AL,8172,10.5,1007,1.2,8423,10.8
AK,850,5.2,436,2.6,865,5.3
AZ,9952,10.7,1184,1.2,7920,8.5
AR,5200,10.8,1423,2.9,4211,8.7
CA,47654,13.0,6251,1.7,33461,9.1
CO,5773,7.4,1903,2.4,7563,9.7
CT,3436,8.8,708,1.8,4461,11.5
DE,2087,18.0,331,2.8,552,4.7
DC,773,11.7,50,0.7,253,3.8
FL,22562,9.8,4321,1.8,22940,9.9
GA,9723,7.9,4857,3.9,13307,10.8
HI,1174,8.2,*,*,1083,7.5
ID,1849,6.1,282,0.9,2100,6.9
IL,13663,10.4,1941,1.4,11300,8.6
IN,8077,8.5,2188,2.3,9494,10.0
IA,4531,10.7,171,0.4,2827,6.6
KS,2834,6.2,847,1.8,4922,10.7
KY,9097,10.6,2617,3.0,7904,9.2
LA,8579,11.7,2895,3.9,6890,9.4
ME,1902,10.2,878,4.7,2259,12.1
MD,3434,5.8,867,1.4,3946,6.7
MA,4159,6.6,1228,1.9,4887,7.7
MI,10651,8.2,3493,2.7,12609,9.7
MN,3778,5.6,875,1.2,4553,6.7
MS,5090,10.0,656,1.2,6862,13.5
MO,7160,8.5,1396,1.6,9152,10.9
MT,460,2.6,202,1.1,1603,9.0
NE,1514,4.9,818,2.6,2414,7.8
NV,4672,11.9,817,2.0,3217,8.1
NH,1379,7.9,32,0.1,1389,8.0
NJ,5919,8.5,746,1.0,7214,10.3
NM,3657,10.2,1208,3.3,5612,15.7
NY,19695,10.9,3326,1.8,13623,7.5
NC,13534,9.9,3402,2.5,14728,10.8
ND,572,4.1,59,0.4,669,4.8
OH,9444,6.2,3265,2.1,15461,10.3
OK,6421,8.4,1405,1.8,8251,10.8
OR,6755,10.3,1702,2.6,7167,10.9
PA,11681,7.9,1750,1.1,18683,12.6
RI,787,6.7,129,1.0,1502,12.8
SC,6559,10.3,1763,2.7,6064,9.5
SD,1313,9.4,*,*,950,6.8
TN,10531,9.6,2671,2.4,13399,12.2
TX,30637,8.4,7786,2.1,33057,9.1
UT,4280,10.6,418,1.0,3505,8.7
VT,428,5.2,182,2.2,472,5.8
VA,12002,11.1,1754,1.6,10749,10.0
WA,6916,6.7,1802,1.7,11985,11.6
WV,3115,9.3,1015,3.0,2790,8.3
WI,8014,10.8,2019,2.7,7491,10.1
WY,656,7.2,327,3.5,613,6.7

Table 2.5 Functioning - Civilians Ages 18-64 Years Living in the Community with Ambulatory Disabilities who have Self-Care Disabilities or Independent Living Disabilities for the United States and States: 2021
State,"Self-Care: Count","Self-Care: % [1]","Independent Living: Count","Independent Living: % [2]"
US,2760671,30.9,3920012,43.8
AL,51375,24.4,84846,40.4
AK,6545,33.3,8732,44.4
AZ,51564,27.9,75699,41.0
AR,39353,30.6,58671,45.7
CA,290608,35.4,392586,47.8
CO,33640,30.1,50364,45.2
CT,29041,35.2,40651,49.4
DE,10287,36.3,11866,41.9
DC,5475,26.3,7677,37.0
FL,180212,30.8,243414,41.7
GA,90114,28.4,137425,43.3
HI,10081,35.1,13888,48.4
ID,15368,32.8,17671,37.7
IL,101126,31.9,143056,45.1
IN,62331,29.9,88696,42.6
IA,24980,31.2,35589,44.4
KS,20248,26.7,30936,40.9
KY,64035,32.0,89498,44.7
LA,55050,32.3,72010,42.3
ME,12722,27.7,23236,50.7
MD,39192,27.0,56759,39.1
MA,44612,31.8,65525,46.7
MI,94756,31.3,139185,45.9
MN,35156,33.3,47300,44.9
MS,41155,29.5,59830,42.9
MO,57410,29.4,83586,42.9
MT,9254,33.0,10663,38.1
NE,14390,29.6,17725,36.5
NV,25539,28.5,34372,38.4
NH,9841,34.1,13316,46.2
NJ,60478,33.1,86278,47.3
NM,28316,37.6,36251,48.1
NY,161848,32.8,237477,48.2
NC,92393,28.2,141238,43.2
ND,2653,17.9,4776,32.2
OH,100403,28.2,143429,40.3
OK,39571,25.3,63516,40.7
OR,40365,33.2,52834,43.5
PA,108691,30.4,166584,46.7
RI,10469,36.0,14861,51.2
SC,50079,28.7,70993,40.7
SD,6735,32.6,8491,41.2
TN,71636,28.2,109766,43.2
TX,238198,31.5,321209,42.5
UT,19084,29.4,27590,42.6
VT,4053,27.6,5889,40.1
VA,66606,29.6,94876,42.1
WA,59107,31.7,81220,43.5
WV,27506,33.1,35231,42.5
WI,42598,32.4,56553,43.0
WY,4422,30.1,6178,42.1

Table 2.6 Functioning - Civilians Ages 18-64 Years Living in the Community with Ambulatory Disabilities who have Both or Only Self-Care Disabilities and Independent Living Disabilities for the United States and States: 2021
State,"Both Self-Care and Independent Living: Count","Both Self-Care and Independent Living: % [1]","Self-Care Only: Count","Self-Care Only: % [2]","Independent Living Only: Count","Independent Living Only: % [3]"
US,2226042,24.9,534629,5.9,1693970,18.9
AL,40505,19.3,10870,5.1,44341,21.1
AK,5212,26.5,1333,6.7,3520,17.9
AZ,42076,22.8,9488,5.1,33623,18.2
AR,31919,24.8,7434,5.7,26752,20.8
CA,244645,29.8,45963,5.6,147941,18.0
CO,27621,24.7,6019,5.4,22743,20.4
CT,23895,29.0,5146,6.2,16756,20.3
DE,8216,29.0,2071,7.3,3650,12.9
DC,4667,22.4,808,3.8,3010,14.5
FL,141591,24.2,38621,6.6,101823,17.4
GA,70709,22.2,19405,6.1,66716,21.0
HI,8150,28.4,1931,6.7,5738,20.0
ID,10593,22.6,4775,10.2,7078,15.1
IL,83309,26.3,17817,5.6,59747,18.8
IN,49687,23.9,12644,6.0,39009,18.7
IA,21693,27.0,3287,4.1,13896,17.3
KS,15033,19.8,5215,6.8,15903,21.0
KY,51806,25.9,12229,6.1,37692,18.8
LA,41648,24.5,13402,7.8,30362,17.8
ME,10403,22.7,2319,5.0,12833,28.0
MD,31036,21.4,8156,5.6,25723,17.7
MA,33955,24.2,10657,7.6,31570,22.5
MI,76084,25.1,18672,6.1,63101,20.8
MN,26549,25.2,8607,8.1,20751,19.7
MS,33387,23.9,7768,5.5,26443,18.9
MO,46300,23.7,11110,5.7,37286,19.1
MT,7176,25.6,2078,7.4,3487,12.4
NE,11458,23.6,2932,6.0,6267,12.9
NV,19835,22.1,5704,6.3,14537,16.2
NH,8709,30.2,1132,3.9,4607,15.9
NJ,47319,25.9,13159,7.2,38959,21.3
NM,23329,30.9,4987,6.6,12922,17.1
NY,141142,28.6,20706,4.2,96335,19.5
NC,73935,22.6,18458,5.6,67303,20.6
ND,2174,14.6,479,3.2,2602,17.5
OH,76759,21.6,23644,6.6,66670,18.7
OK,32583,20.9,6988,4.4,30933,19.8
OR,31589,26.0,8776,7.2,21245,17.5
PA,89348,25.0,19343,5.4,77236,21.6
RI,9296,32.0,1173,4.0,5565,19.1
SC,38123,21.8,11956,6.8,32870,18.8
SD,5691,27.6,1044,5.0,2800,13.5
TN,58017,22.8,13619,5.3,51749,20.4
TX,189320,25.0,48878,6.4,131889,17.4
UT,15763,24.3,3321,5.1,11827,18.2
VT,3623,24.6,430,2.9,2266,15.4
VA,53993,24.0,12613,5.6,40883,18.1
WA,47864,25.6,11243,6.0,33356,17.8
WV,20505,24.7,7001,8.4,14726,17.7
WI,34445,26.2,8153,6.2,22108,16.8
WY,3357,22.8,1065,7.2,2821,19.2

Table 2.7 Functioning - Civilians Ages 18-64 Years Living in the Community with Cognitive Disabilities who have Self-Care Disabilities or Independent Living Disabilities for the United States and States: 2021
State,"Self-Care: Count","Self-Care: % [1]","Independent Living: Count","Independent Living: % [2]"
US,1824641,18.7,4514815,46.2
AL,33156,18.1,88752,48.4
AK,4190,16.1,11623,44.7
AZ,35309,17.1,94282,45.7
AR,25401,20.7,60552,49.5
CA,203200,21.2,464815,48.6
CO,24804,15.5,69304,43.3
CT,18930,19.1,45498,46.1
DE,6626,24.4,13485,49.7
DC,3419,17.0,6405,31.9
FL,115471,20.2,274796,48.0
GA,55733,17.5,144438,45.5
HI,7148,20.7,17564,51.0
ID,9929,16.1,26076,42.2
IL,62077,19.3,150055,46.8
IN,37724,17.9,101739,48.3
IA,17463,18.2,40835,42.6
KS,19412,19.6,48784,49.2
KY,38719,20.5,90227,47.9
LA,33353,19.3,78198,45.4
ME,7229,12.2,30128,51.0
MD,25155,16.5,58697,38.5
MA,31253,16.4,80729,42.3
MI,64957,19.0,161036,47.3
MN,27330,14.7,82382,44.5
MS,25539,20.7,58679,47.6
MO,35569,16.8,92812,43.9
MT,5991,15.7,16498,43.5
NE,8986,16.6,20302,37.7
NV,17027,20.4,37345,44.7
NH,7615,17.9,18515,43.7
NJ,41258,22.2,94834,51.2
NM,16461,20.9,40428,51.5
NY,109649,21.1,243292,47.0
NC,63866,19.5,158689,48.6
ND,2273,12.6,5974,33.2
OH,63300,15.5,171225,42.0
OK,23373,14.9,71699,45.7
OR,30408,17.4,79073,45.4
PA,75185,17.8,188554,44.6
RI,5872,15.6,15809,42.0
SC,28158,18.3,69906,45.4
SD,4719,19.2,10161,41.3
TN,46487,19.3,115645,48.0
TX,149008,19.1,356941,45.9
UT,13918,13.4,45201,43.7
VT,4685,20.7,10101,44.7
VA,43342,18.9,104510,45.6
WA,43349,16.5,117999,45.0
WV,14174,18.3,37990,49.1
WI,33681,19.0,85129,48.1
WY,2760,16.7,7104,43.1

Table 2.8 Functioning - Civilians Ages 18-64 Years Living in the Community with Cognitive Disabilities who have Both or Only Self-Care Disabilities and Independent Living Disabilities for the United States and States: 2021
State,"Both Self-Care and Independent Living: Count","Both Self-Care and Independent Living: % [1]","Self-Care Only: Count","Self-Care Only: % [2]","Independent Living Only: Count","Independent Living Only: % [3]"
US,1621872,16.6,202769,2.0,2892943,29.6
AL,30712,16.7,2444,1.3,58040,31.6
AK,3758,14.4,432,1.6,7865,30.2
AZ,32309,15.6,3000,1.4,61973,30.0
AR,22117,18.0,3284,2.6,38435,31.4
CA,188818,19.7,14382,1.5,275997,28.8
CO,22517,14.0,2287,1.4,46787,29.2
CT,17249,17.4,1681,1.7,28249,28.6
DE,5843,21.5,783,2.8,7642,28.1
DC,3350,16.7,69,0.3,3055,15.2
FL,100823,17.6,14648,2.5,173973,30.4
GA,47180,14.8,8553,2.6,97258,30.6
HI,6584,19.1,564,1.6,10980,31.9
ID,8080,13.1,1849,2.9,17996,29.1
IL,56916,17.7,5161,1.6,93139,29.0
IN,34011,16.1,3713,1.7,67728,32.1
IA,15708,16.4,1755,1.8,25127,26.2
KS,16747,16.9,2665,2.6,32037,32.3
KY,32339,17.1,6380,3.3,57888,30.7
LA,27995,16.2,5358,3.1,50203,29.1
ME,6920,11.7,309,0.5,23208,39.3
MD,21942,14.4,3213,2.1,36755,24.1
MA,27434,14.3,3819,2.0,53295,27.9
MI,55523,16.3,9434,2.7,105513,30.9
MN,24931,13.4,2399,1.2,57451,31.0
MS,22244,18.0,3295,2.6,36435,29.6
MO,31098,14.7,4471,2.1,61714,29.2
MT,4994,13.1,997,2.6,11504,30.3
NE,6444,11.9,2542,4.7,13858,25.7
NV,14387,17.2,2640,3.1,22958,27.5
NH,6985,16.5,630,1.4,11530,27.2
NJ,36242,19.5,5016,2.7,58592,31.6
NM,15258,19.4,1203,1.5,25170,32.0
NY,101371,19.5,8278,1.5,141921,27.4
NC,56498,17.3,7368,2.2,102191,31.3
ND,2123,11.8,150,0.8,3851,21.4
OH,55079,13.5,8221,2.0,116146,28.5
OK,20026,12.7,3347,2.1,51673,32.9
OR,25362,14.5,5046,2.8,53711,30.8
PA,66615,15.7,8570,2.0,121939,28.9
RI,5282,14.0,590,1.5,10527,27.9
SC,25665,16.6,2493,1.6,44241,28.7
SD,4399,17.9,320,1.3,5762,23.4
TN,41153,17.0,5334,2.2,74492,30.9
TX,131767,16.9,17241,2.2,225174,28.9
UT,12181,11.7,1737,1.6,33020,31.9
VT,4278,18.9,407,1.8,5823,25.8
VA,39443,17.2,3899,1.7,65067,28.4
WA,36757,14.0,6592,2.5,81242,30.9
WV,13216,17.1,958,1.2,24774,32.0
WI,30820,17.4,2861,1.6,54309,30.7
WY,2379,14.4,381,2.3,4725,28.6

Table 3.1 Employment - Civilians with Disabilities Ages 18-64 Years Living in the Community for the United States and States: 2021
State,Total,"Employed: Count","Employed: % [1]"
US,21375164,8705513,40.7
AL,427044,138077,32.3
AK,57446,26466,46.1
AZ,462266,203672,44.1
AR,270410,95322,35.3
CA,2094680,825876,39.4
CO,334153,166776,49.9
CT,210733,93481,44.4
DE,63108,29787,47.2
DC,45567,18345,40.3
FL,1294357,508919,39.3
GA,718796,279071,38.8
HI,70655,28568,40.4
ID,129963,65530,50.4
IL,738699,307531,41.6
IN,475999,193235,40.6
IA,200714,94631,47.1
KS,201587,87877,43.6
KY,425527,143193,33.7
LA,382524,130691,34.2
ME,111109,39764,35.8
MD,347449,158268,45.6
MA,390447,162885,41.7
MI,717556,267500,37.3
MN,346254,176096,50.9
MS,283513,94106,33.2
MO,455483,188557,41.4
MT,75444,32744,43.4
NE,127695,67109,52.6
NV,203594,86496,42.5
NH,86205,40316,46.8
NJ,442236,177976,40.2
NM,172088,60122,34.9
NY,1137516,419234,36.9
NC,721213,277731,38.5
ND,47057,27321,58.1
OH,844365,333629,39.5
OK,355773,146090,41.1
OR,337722,143668,42.5
PA,862692,340244,39.4
RI,79542,33737,42.4
SC,371131,132959,35.8
SD,54749,28037,51.2
TN,536506,191440,35.7
TX,1812286,832902,46.0
UT,194928,105165,54.0
VT,44065,16705,37.9
VA,525816,233508,44.4
WA,515893,216240,41.9
WV,171095,50814,29.7
WI,361742,167399,46.3
WY,37772,19703,52.2

Table 3.2 Employment - Civilians without Disabilities Ages 18-64 Years Living in the Community for the United States and States: 2021
State,Total,"Employed: Count","Employed: % [1]"
US,177527241,135973591,76.6
AL,2547331,1899619,74.6
AK,370838,277926,74.9
AZ,3777370,2870362,76.0
AR,1491911,1145914,76.8
CA,22007153,16185950,73.5
CO,3274242,2616988,79.9
CT,1991370,1560234,78.3
DE,520770,397392,76.3
DC,404964,315232,77.8
FL,11356405,8662175,76.3
GA,5805086,4413612,76.0
HI,729300,547871,75.1
ID,971484,772549,79.5
IL,6917512,5322567,76.9
IN,3564936,2805974,78.7
IA,1668525,1384786,83.0
KS,1507357,1219446,80.9
KY,2242246,1704911,76.0
LA,2309022,1666937,72.2
ME,709211,567913,80.1
MD,3371887,2663784,79.0
MA,3981891,3138799,78.8
MI,5301641,3997617,75.4
MN,3065749,2558927,83.5
MS,1426633,1040372,72.9
MO,3177937,2522505,79.4
MT,564962,444601,78.7
NE,1014311,860434,84.8
NV,1690271,1241872,73.5
NH,770904,629599,81.7
NJ,5176776,3962777,76.5
NM,1047810,745883,71.2
NY,10983027,8106176,73.8
NC,5562607,4250394,76.4
ND,408160,339211,83.1
OH,6129834,4822544,78.7
OK,1962381,1497352,76.3
OR,2232682,1709490,76.6
PA,6848016,5338737,78.0
RI,600499,468122,78.0
SC,2671976,2011413,75.3
SD,453506,379204,83.6
TN,3641442,2804589,77.0
TX,15981386,12052171,75.4
UT,1789229,1435856,80.2
VT,348202,276147,79.3
VA,4629055,3648494,78.8
WA,4199025,3236407,77.1
WV,863113,615831,71.3
WI,3165531,2594584,82.0
WY,299765,241341,80.5

Table 3.3 Employment - Civilians with Hearing Disabilities Ages 18-64 Years Living in the Community for the United States and States: 2021
State,Total,"Employed: Count","Employed: % [1]"
US,3986839,2199414,55.1
AL,77652,40599,52.2
AK,16161,8489,52.5
AZ,92617,50667,54.7
AR,47909,25269,52.7
CA,365481,190961,52.2
CO,77248,47477,61.4
CT,38726,22650,58.4
DE,11573,6524,56.3
DC,6590,3116,47.2
FL,229910,123990,53.9
GA,122542,65074,53.1
HI,14285,8127,56.8
ID,30151,19328,64.1
IL,130549,74605,57.1
IN,94795,52903,55.8
IA,42307,24611,58.1
KS,45597,27547,60.4
KY,85492,39949,46.7
LA,73199,28165,38.4
ME,18610,8710,46.8
MD,58476,36976,63.2
MA,62778,35503,56.5
MI,129355,68819,53.2
MN,67374,44220,65.6
MS,50519,25044,49.5
MO,83902,46457,55.3
MT,17665,9887,55.9
NE,30618,21815,71.2
NV,39244,22507,57.3
NH,17348,11082,63.8
NJ,69444,40683,58.5
NM,35694,16234,45.4
NY,180387,94758,52.5
NC,135362,72110,53.2
ND,13864,10710,77.2
OH,150061,78985,52.6
OK,75961,42724,56.2
OR,65423,38946,59.5
PA,147567,79274,53.7
RI,11732,7165,61.0
SC,63240,32945,52.0
SD,13941,9541,68.4
TN,109517,53002,48.3
TX,361517,212980,58.9
UT,40281,28734,71.3
VT,8133,4582,56.3
VA,107319,61469,57.2
WA,102560,59645,58.1
WV,33291,15453,46.4
WI,73772,42424,57.5
WY,9100,5979,65.7

Table 3.4 Employment - Civilians with Vision Disabilities Ages 18-64 Years Living in the Community for the United States and States: 2021
State,Total,"Employed: Count","Employed: % [1]"
US,4198571,2013445,47.9
AL,85135,31203,36.6
AK,9079,5296,58.3
AZ,91441,52208,57.0
AR,55297,21805,39.4
CA,440277,211178,47.9
CO,66208,35577,53.7
CT,40603,21894,53.9
DE,13099,6066,46.3
DC,9703,4536,46.7
FL,259705,126129,48.5
GA,149327,69295,46.4
HI,12019,6019,50.0
ID,28388,18652,65.7
IL,136998,69125,50.4
IN,88865,43279,48.7
IA,33909,18131,53.4
KS,34818,18283,52.5
KY,89154,34688,38.9
LA,96632,41732,43.1
ME,14298,4757,33.2
MD,63400,33869,53.4
MA,64727,32962,50.9
MI,113662,48583,42.7
MN,46518,23434,50.3
MS,70633,30111,42.6
MO,89950,42477,47.2
MT,13291,4540,34.1
NE,26430,14622,55.3
NV,45283,21174,46.7
NH,14175,6791,47.9
NJ,93308,48559,52.0
NM,32792,14988,45.7
NY,206577,94198,45.5
NC,143324,65782,45.8
ND,11957,8115,67.8
OH,151355,65583,43.3
OK,86238,40769,47.2
OR,55212,26142,47.3
PA,160422,67533,42.0
RI,14398,8369,58.1
SC,70780,33796,47.7
SD,9761,5222,53.4
TN,116871,51900,44.4
TX,419128,223337,53.2
UT,33735,19816,58.7
VT,5703,2147,37.6
VA,99562,52004,52.2
WA,85945,42099,48.9
WV,30818,8895,28.8
WI,59657,31240,52.3
WY,8004,4535,56.6

Table 3.5 Employment - Civilians with Cognitive Disabilities Ages 18-64 Years Living in the Community for the United States and States: 2021
State,Total,"Employed: Count","Employed: % [1]"
US,9753745,3282104,33.6
AL,183141,48762,26.6
AK,25998,12130,46.6
AZ,205949,75494,36.6
AR,122218,32258,26.3
CA,955091,304499,31.8
CO,160011,66927,41.8
CT,98619,34627,35.1
DE,27107,10465,38.6
DC,20023,7462,37.2
FL,571601,179537,31.4
GA,317397,104957,33.0
HI,34386,9810,28.5
ID,61658,26176,42.4
IL,320585,109265,34.0
IN,210353,74394,35.3
IA,95770,38546,40.2
KS,99028,37415,37.7
KY,188277,46338,24.6
LA,172153,45150,26.2
ME,58996,17561,29.7
MD,152155,57890,38.0
MA,190553,67661,35.5
MI,340394,108610,31.9
MN,184745,87731,47.4
MS,123035,27426,22.2
MO,211107,78737,37.2
MT,37919,13857,36.5
NE,53833,23877,44.3
NV,83410,28355,33.9
NH,42323,17348,40.9
NJ,185139,54147,29.2
NM,78495,23076,29.3
NY,517427,156912,30.3
NC,325959,105132,32.2
ND,17972,9465,52.6
OH,406879,140473,34.5
OK,156751,51656,32.9
OR,174169,58178,33.4
PA,421866,139990,33.1
RI,37602,14106,37.5
SC,153828,48209,31.3
SD,24550,10093,41.1
TN,240740,66213,27.5
TX,777206,286503,36.8
UT,103270,49683,48.1
VT,22565,5907,26.1
VA,228934,81293,35.5
WA,262075,89370,34.1
WV,77253,18155,23.5
WI,176760,73044,41.3
WY,16470,7234,43.9

Table 3.6 Employment - Civilians with Ambulatory Disabilities Ages 18-64 Years Living in the Community for the United States and States: 2021
State,Total,"Employed: Count","Employed: % [1]"
US,8931748,2358780,26.4
AL,209788,40062,19.0
AK,19632,6285,32.0
AZ,184450,55124,29.8
AR,128378,31628,24.6
CA,820251,205229,25.0
CO,111403,36214,32.5
CT,82289,22383,27.2
DE,28267,9976,35.2
DC,20748,6328,30.4
FL,583227,152070,26.0
GA,317098,78986,24.9
HI,28670,8300,28.9
ID,46777,15598,33.3
IL,316618,85829,27.1
IN,207877,55673,26.7
IA,80060,23003,28.7
KS,75632,21723,28.7
KY,199797,41069,20.5
LA,169940,37982,22.3
ME,45789,9117,19.9
MD,144896,45947,31.7
MA,140064,35667,25.4
MI,302686,71152,23.5
MN,105314,38044,36.1
MS,139273,28739,20.6
MO,194670,46137,23.7
MT,27961,9639,34.4
NE,48455,16969,35.0
NV,89480,27843,31.1
NH,28796,9255,32.1
NJ,182319,47191,25.8
NM,75291,16803,22.3
NY,492523,122257,24.8
NC,326500,79225,24.2
ND,14815,5409,36.5
OH,355265,89733,25.2
OK,155889,41564,26.6
OR,121349,33753,27.8
PA,356698,88614,24.8
RI,29001,6805,23.4
SC,174347,41485,23.7
SD,20601,5886,28.5
TN,253557,58214,22.9
TX,755709,243067,32.1
UT,64731,26577,41.0
VT,14670,3073,20.9
VA,224836,68451,30.4
WA,186399,49053,26.3
WV,82894,15111,18.2
WI,131401,39633,30.1
WY,14667,4905,33.4

Table 3.7 Employment - Civilians with Self-Care Disabilities Ages 18-64 Years Living in the Community for the United States and States: 2021
State,Total,"Employed: Count","Employed: % [1]"
US,3348374,528149,15.7
AL,61183,6951,11.3
AK,7973,2198,27.5
AZ,61460,11065,18.0
AR,45521,6104,13.4
CA,365270,48555,13.2
CO,41729,7764,18.6
CT,34724,7212,20.7
DE,11875,2777,23.3
DC,6452,1077,16.6
FL,212067,37072,17.4
GA,109603,18763,17.1
HI,11346,1785,15.7
ID,18078,3136,17.3
IL,122424,19660,16.0
IN,74327,12268,16.5
IA,28822,5886,20.4
KS,29915,3922,13.1
KY,72281,9185,12.7
LA,65208,9199,14.1
ME,16038,1339,8.3
MD,47933,8675,18.0
MA,58197,9260,15.9
MI,117444,14862,12.6
MN,46786,12773,27.3
MS,45760,5101,11.1
MO,71063,11868,16.7
MT,10839,2508,23.1
NE,16548,3922,23.7
NV,30717,4771,15.5
NH,12970,3434,26.4
NJ,78150,12395,15.8
NM,32061,5919,18.4
NY,198077,25429,12.8
NC,110804,18478,16.6
ND,3847,1178,30.6
OH,121345,19009,15.6
OK,46235,7237,15.6
OR,50336,8799,17.4
PA,134141,21735,16.2
RI,12436,1450,11.6
SC,61556,8645,14.0
SD,7314,793,10.8
TN,83397,12136,14.5
TX,276165,46771,16.9
UT,23217,6219,26.7
VT,6185,471,7.6
VA,82485,15319,18.5
WA,72493,10437,14.3
WV,31477,2647,8.4
WI,57350,8973,15.6
WY,4750,1017,21.4

Table 3.8 Employment - Civilians with Independent Living Disabilities Ages 18-64 Years Living in the Community for the United States and States: 2021
State,Total,"Employed: Count","Employed: % [1]"
US,7550579,1526857,20.2
AL,150441,20900,13.8
AK,19396,4180,21.5
AZ,154822,36283,23.4
AR,102928,15298,14.8
CA,783774,150309,19.1
CO,109735,30503,27.7
CT,75964,15758,20.7
DE,23182,6444,27.7
DC,11291,2294,20.3
FL,447811,85645,19.1
GA,250740,42353,16.8
HI,26466,7553,28.5
ID,39248,8616,21.9
IL,268220,56873,21.2
IN,169871,38130,22.4
IA,70035,19569,27.9
KS,75403,17792,23.5
KY,153865,21914,14.2
LA,131666,21904,16.6
ME,48499,11042,22.7
MD,106398,23872,22.4
MA,140821,32051,22.7
MI,273744,48070,17.5
MN,125635,42706,33.9
MS,99032,12835,12.9
MO,157561,34367,21.8
MT,25317,6560,25.9
NE,36130,12425,34.3
NV,64174,13130,20.4
NH,31444,9339,29.7
NJ,164983,28919,17.5
NM,65059,13126,20.1
NY,436592,69615,15.9
NC,255865,44637,17.4
ND,9697,2306,23.7
OH,286282,62336,21.7
OK,119785,23373,19.5
OR,124720,30028,24.0
PA,315910,62660,19.8
RI,30055,5898,19.6
SC,125691,25228,20.0
SD,15299,3942,25.7
TN,191409,30466,15.9
TX,589083,130871,22.2
UT,67291,19382,28.8
VT,16157,3145,19.4
VA,176496,38111,21.5
WA,181137,38126,21.0
WV,62089,8324,13.4
WI,131964,34281,25.9
WY,11402,3368,29.5

Table 3.9 Employment Gap - Civilians Ages 18-64 Years Living in the Community for the United States and States, by Disability Status: 2021
State,"Disability [1]","No Disability [2]","Gap (% pts) [3]"
US,40.7,76.6,35.9
AL,32.3,74.6,42.3
AK,46.1,74.9,28.8
AZ,44.1,76.0,31.9
AR,35.3,76.8,41.5
CA,39.4,73.5,34.1
CO,49.9,79.9,30.0
CT,44.4,78.3,33.9
DE,47.2,76.3,29.1
DC,40.3,77.8,37.5
FL,39.3,76.3,37.0
GA,38.8,76.0,37.2
HI,40.4,75.1,34.7
ID,50.4,79.5,29.1
IL,41.6,76.9,35.3
IN,40.6,78.7,38.1
IA,47.1,83.0,35.9
KS,43.6,80.9,37.3
KY,33.7,76.0,42.3
LA,34.2,72.2,38.0
ME,35.8,80.1,44.3
MD,45.6,79.0,33.4
MA,41.7,78.8,37.1
MI,37.3,75.4,38.1
MN,50.9,83.5,32.6
MS,33.2,72.9,39.7
MO,41.4,79.4,38.0
MT,43.4,78.7,35.3
NE,52.6,84.8,32.2
NV,42.5,73.5,31.0
NH,46.8,81.7,34.9
NJ,40.2,76.5,36.3
NM,34.9,71.2,36.3
NY,36.9,73.8,36.9
NC,38.5,76.4,37.9
ND,58.1,83.1,25.0
OH,39.5,78.7,39.2
OK,41.1,76.3,35.2
OR,42.5,76.6,34.1
PA,39.4,78.0,38.6
RI,42.4,78.0,35.6
SC,35.8,75.3,39.5
SD,51.2,83.6,32.4
TN,35.7,77.0,41.3
TX,46.0,75.4,29.4
UT,54.0,80.2,26.2
VT,37.9,79.3,41.4
VA,44.4,78.8,34.4
WA,41.9,77.1,35.2
WV,29.7,71.3,41.6
WI,46.3,82.0,35.7
WY,52.2,80.5,28.3

Table 4.1 Industry and Occupation - Civilians with and without Disabilities Ages 18-64 Years Living in the Community Employed by Industry for the United States: 2021
